scholar_id,name,gender,affiliation,url_picture,i10index,i10index5y,hindex,hindex5y,citedby,citedby5y,num_publications
P4D09bQAAAAJ,Bjørn Erik Munkvold,M,"Professor in information systems, University of Agder",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P4D09bQAAAAJ&citpid=2,52,30,28,19,3045,1390,125
QQVB1AEAAAAJ,Peter Török,M,Imperial College,,88,40,37,21,4540,1529,179
oh6zqcUAAAAJ,Leonidas Anthopoulos,M,"Professor, Department of Business Administration, University of Thessaly, Greece",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oh6zqcUAAAAJ&citpid=3,46,39,26,26,3357,2843,135
IloAKlkAAAAJ,Ismael Miranda,M,"Ph. D. Student, Faculty of Engineering of University of Porto & EFACEC",,4,3,6,6,132,127,23
x5kNunEAAAAJ,Maung Sein,M,"Professor, University of Agder",,67,34,32,18,6499,2456,129
XQ-tSr4AAAAJ,Gabor Simonyi,M,"Alfred Renyi Institute of Mathematics, Hungarian Academy of Sciences",,31,7,18,8,1157,316,65
R0WmGdIAAAAJ,Keeth Saliya Jayasinghe,M,"Senior Specialist, Nokia Networks, Finland",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=R0WmGdIAAAAJ&citpid=1,11,6,10,7,334,237,35
vbKZiYoAAAAJ,Marat Rafikov,M,"Professor titular, Universidade Federal do ABC",,28,15,16,13,1409,543,118
cyiYJhMAAAAJ,Ebroul Izquierdo,M,"Professor of Multimedia and Computer Vision, Queen Mary University of London",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cyiYJhMAAAAJ&citpid=4,169,60,38,21,6051,1997,683
a01eMm8AAAAJ,Joonas Kokkoniemi,M,"Postdoctoral researcher, Centre for Wireless Communications, University of Oulu",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=a01eMm8AAAAJ&citpid=6,20,18,15,15,737,698,46
qlReqq8AAAAJ,Daniel P. Palomar,M,"Department of Electronic & Computer Engineering, Department of Industrial Engineering & Decision",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qlReqq8AAAAJ&citpid=7,142,106,59,42,16331,7183,352
